well,rows,rmse,mean_abs_error,bias,alpha
ec0d597b,4616,15.480664625344975,10.631361755191572,-9.791266638320161,1.0
38991fd4,4798,15.331669127958294,13.55025674219948,13.55025674219948,1.0
aaaf3c03,2997,15.305212817506648,13.485476178839129,1.4468781188350808,1.0
684a6fc1,9818,15.243796792665835,13.431586801843343,-11.086416158053447,1.0
9426ec1e,2532,15.203103904699853,13.404350315871485,13.399779680660998,1.0
d90aa14c,10018,15.128847992042214,13.358817187844432,-9.649269583472327,1.0
b3388334,6080,15.115613379622621,13.297488166348089,7.8127014268548205,1.0
a3f71395,5543,15.089395383508826,13.610257983041308,9.93482229839372,0.0
8b12bab6,5234,15.074419112570153,11.63564703632925,-10.059164516134175,1.0
f140c2fa,4082,15.024961552098535,13.435119174843546,13.435119174843546,1.0
e03b45fd,5342,14.978709262777178,11.734263012057918,1.4605515129577338,1.0
7bb17b96,3922,14.91697858593634,12.734046496383693,-12.734046496383693,1.0
58850d2c,4995,14.887955622671049,14.052264264264263,14.052252252252249,0.0
25050f63,6124,14.876594188174822,13.173848404613741,-11.72492737238304,1.0
14ab73fb,3649,14.81915286795364,13.023165250754353,13.023165250754353,0.0
656a067b,3051,14.81220187219885,13.344635916012763,-4.811237980657372,1.0
77e4821c,5393,14.804457775940927,12.224325096102437,-11.867832497794826,1.0
85380836,6618,14.794522168221306,13.228505480614885,-11.591815418253319,1.0
9a95e33f,6447,14.781629617056012,12.618986142020065,5.64710133751842,0.25
4b831d20,7312,14.732921362968435,12.331001832297057,12.305081512171201,1.0
3aaa2b30,4711,14.708551605793383,13.190214357300333,-12.503504654796286,1.0
ce55ba43,4104,14.685848572425101,12.62109744750341,-12.382262131215288,1.0
df8290be,3972,14.65406887614349,12.444280187204008,-7.674825834745046,1.0
82aab6d2,6140,14.643654264953428,12.603120003372153,12.360266568183894,1.0
67a8da4a,4911,14.606671997959808,12.640661467193713,-12.167998854009669,1.0
f49fdea3,5391,14.495550745294349,13.543817082417684,-13.50296523269004,1.0
a87433c9,5721,14.481573849839304,13.26392534059423,13.26392534059423,1.0
633774dc,6233,14.428603626787732,12.789041692603991,-9.85861886378165,1.0
8612b37f,5165,14.40898343230716,11.406816998003256,8.663028701257817,0.75
9df1b1f9,4701,14.399969312009008,13.762292974069478,-13.414797509413617,1.0
9c350a6a,6052,14.392809954810666,11.779295772876925,-9.8406672118912,1.0
a0383629,5832,14.256119265609273,13.225766699562488,13.21375645756916,1.0
7ff89f8f,7337,14.155555516103233,11.48404525010244,-8.27030939075982,0.0
8d5d46d7,5755,14.149709034131945,12.90107686691648,-12.730714499656893,1.0
febb4411,4247,14.099078969197432,12.298265953454777,11.370418915041533,1.0
47222616,4406,13.969142290137713,11.290870382667089,-9.762613929084841,1.0
16e4a047,4131,13.96829530130676,13.569229787893242,13.569229787893242,1.0
2bff06cf,7624,13.942296994107163,10.69644706875445,4.694787551804926,0.75
8b5be31b,5672,13.929321131634074,11.833009229329631,9.503590345350895,1.0
c3957531,5316,13.898317788699567,10.902556789165043,-3.9356030559310575,1.0
a5aa7973,4616,13.884387600814197,11.910772405574415,8.990988501942677,1.0
bc4381e2,4955,13.869935536586558,12.929469672796012,-12.907694613259675,1.0
77b0d905,4174,13.809265882984608,13.334783671834849,-13.330597343443111,1.0
8bda1a11,5981,13.782798106952923,11.031151726984852,8.968549365786957,1.0
974802e7,5843,13.739336318402595,12.185710603041464,3.505912782782202,1.0
add9c322,3932,13.693357794429764,12.896137248957569,12.896137248957569,1.0
3932faa6,5452,13.5384979773621,10.236181419614862,1.6642177612909261,1.0
1beca81d,5036,13.514166888051758,9.945696559041714,9.572945313777812,1.0
9da441ba,5783,13.490451926378189,11.6646045623698,-11.553204015521178,1.0
368fe682,4936,13.486822512429683,11.689858361424813,-10.514581500565528,1.0
b5aa9634,7326,13.484511856174045,10.401006156538925,10.375586892340364,1.0
e3b34f5b,5455,13.414892069635018,11.356044946947954,8.376133184023631,1.0
67847288,7429,13.368028792573009,12.19243250802055,12.19243250802055,1.0
ae069086,4770,13.341502078156344,9.750073959143391,6.721307031313826,1.0
7acda2df,3091,13.327272772512801,11.24226205476518,-7.528170481255111,1.0
7d57c75d,4405,13.270541585086823,9.229186683247502,-8.949192905923343,1.0
a692b17e,3566,13.256017451722085,10.793458251659176,-8.678143194231637,1.0
4c3df468,5392,13.218484026895228,11.69288802827517,-2.753632707689409,0.5
d84b621b,3994,13.20832605271833,11.465513079503454,-1.1472990690940426,0.75
a6f967fb,4670,13.192039334236458,12.048575833585,12.045203881165495,1.0
9dede370,6297,13.17054400692623,9.979536611161315,9.018224259390605,0.75
e0f36d98,4976,13.147333615541015,10.884412544397009,-9.65387593869444,1.0
7c607683,5328,13.137686850761737,12.427436714110902,11.384731848748084,1.0
20402d71,6372,13.116153718216006,12.103589655980429,12.103589655980429,1.0
d011f41b,2267,13.06272170391081,10.567786878494504,10.319475362898203,1.0
2d196986,6474,13.046705300239859,10.886193203416417,10.58233423527152,1.0
660d9546,4732,13.041120899850338,10.185615905520123,10.185615905520123,1.0
3a7dd95d,3072,13.010388611275376,10.554567057291571,9.463955078124876,0.0
73b1447d,5670,13.009290226975246,10.86553920736499,-4.235163438088771,1.0
a612d5a0,5329,13.00153262665837,9.781335111516228,3.9290826915895605,0.75
26623a50,5735,12.912782310477258,10.718701689021275,5.783601276966287,0.5
e2fc7745,3692,12.912727451718293,9.5802064472211,-9.234966785841538,1.0
fc03f21f,4803,12.88649243566524,10.527736846093399,10.527736846093399,1.0
5d7198fd,3368,12.870328994714274,10.116608617573974,5.115712805611557,1.0
504c8b08,6367,12.851016519639648,10.705380645658446,-4.980142859765402,0.75
8478df29,4857,12.836706817331452,12.173499429096482,12.11518945973731,1.0
28f4eda9,5266,12.801483719211697,9.828913815829093,-9.578655735242206,1.0
4fbe9c06,6287,12.700621635010842,10.129518053125672,8.825023063464641,0.0
b04b58a3,3402,12.67821039303058,10.691351535889863,-3.7530331322239157,1.0
2d35f86d,4896,12.668556974607771,12.156379369527835,-0.34591744367747024,1.0
7a5660b0,4998,12.647398454963454,11.856064779709872,11.856064779709872,1.0
5305524b,4898,12.639114381732083,11.359602226300073,11.305933941495264,1.0
79507629,5302,12.57032003546627,10.769713315730124,10.769660505469846,0.0
f321a31c,5141,12.557281531880928,10.301707838941793,6.308325228554559,0.0
a4f989c2,5385,12.506377450860345,11.442972402439517,11.102188892310362,1.0
833af382,3628,12.486555864231745,10.116414313590605,8.883281119683755,1.0
8255c867,3589,12.47352451686637,9.8746975690963,-9.329740330523627,0.75
00bbac68,6014,12.45560054605157,10.959659875800531,-4.695969872107699,0.75
5567d551,6889,12.452044043572286,9.241755295548264,0.6400872995752135,0.75
70925e23,5947,12.408259650779723,10.73986704833711,-3.0083586964686067,0.75
c42fe306,5095,12.401385165368708,8.772506342052802,-6.265268074059056,1.0
fae0c593,4403,12.390689968411012,11.568357077536772,-0.9382738946982296,1.0
201661b5,5955,12.376074593108253,10.650921914358007,-6.596379513014775,0.0
3a86fe8d,5118,12.373998410303061,11.353966814285362,11.353966814285362,1.0
14a53cb3,6919,12.332865547715842,10.979946114491424,-10.803585552916074,1.0
efe96181,4012,12.2924419819297,10.385222210203551,1.2026828393562377,0.75
edf885a3,3117,12.288723348140039,9.82893166506286,-8.85183188963819,0.0
a7744f5b,4377,12.098600109849237,8.810628143499569,-8.802883328733552,1.0
a622ce4d,6298,12.084604333372813,9.210047293491154,-9.060464863893147,1.0
a4cdbb0f,5204,12.022995259041442,9.39213412913965,-1.1550164072771774,1.0
2acc78d4,4266,12.018445617531222,8.602551929828826,-8.031732588606413,1.0
65a5466a,4683,11.989477481529898,9.875697956765544,-4.08160324776626,1.0
3e011332,2723,11.97552239203785,9.986479397086887,0.7288007940696336,0.25
e9949a23,4559,11.95225310862512,9.732164967920232,4.593531371283494,1.0
f08774c3,3900,11.948978904092847,10.772793260266392,-0.22391171510016508,1.0
4cd1ac61,4489,11.939448256865077,11.720008926013882,-11.697860029583959,1.0
fc0d20b2,3954,11.932087953866953,7.689668689935407,7.639097116845072,0.0
9d3ec64c,3480,11.907268163293118,10.54661198256689,10.299336258609177,1.0
071d7b45,3211,11.897925721120581,10.123303541202072,1.7158174715723387,0.75
698930d1,4741,11.887768818737488,7.408923873476044,-6.981087009777008,1.0
137d1e44,4554,11.887648370046968,9.817352918906588,1.079618126664656,0.75
6d1d74e1,5830,11.887571200184345,9.238420240137268,2.618557461406848,0.0
d6dd7330,6193,11.882868312821401,9.595363057238997,-7.595854371649888,1.0
f074d277,2453,11.873686523388516,10.318644245205943,-10.07639016616587,1.0
58fa8486,4475,11.843360416602138,9.844785378854162,7.889559663535269,0.5
1b08ed48,5618,11.838490879530399,10.44722855108537,10.200831256674466,0.0
9a6b0392,4255,11.82257518103387,8.840960815300077,8.554609797429803,1.0
200d233d,3926,11.780776402718729,10.853321728357077,-10.853321728357077,1.0
727a3a10,4397,11.754403388374204,10.902447010714486,10.902447010714486,1.0
d0a0e7b5,3816,11.676903707262621,10.458778825996006,-10.440901467505448,0.0
84815d5a,3647,11.65795894352909,10.065790206605095,-3.0553101966401486,0.25
e730c32b,4728,11.654671854511827,10.558796531301683,-10.405145939084909,0.0
33c40295,4169,11.651029720581018,11.032662912151855,-5.773002476447633,1.0
52f1e77a,4442,11.615115999127493,9.878071305478965,-7.8378683548853365,1.0
7850c72e,5497,11.599255749438642,9.74142061425051,1.4334308819907988,1.0
1a68190b,4474,11.569476529470426,9.985839699637946,-2.4000027501685843,0.5
7987f2f2,3705,11.53962024321195,8.433753675460263,2.2113264323132964,0.75
028d7b28,6234,11.505374242981553,9.719279788798925,8.627577129187678,1.0
b56bc0aa,5602,11.469334657122985,10.784874616469923,-10.483175469180441,1.0
69e41fa6,5772,11.453392139519748,10.363395856625173,10.363395856625173,1.0
367456ce,5569,11.415765204167778,9.645872362735593,-9.64585905233133,1.0
