well,rmse,mean_abs_error,bias,rows
f6824bb0,17.086093292663218,15.031172907745631,13.950497225706746,5015
3a0af893,17.043718396200152,14.403696226052611,-14.011541788504486,2927
591cc951,16.969062070407382,12.328016868058668,12.298046596339,4609
57796579,16.961606090096186,12.068901124348102,-5.888984833372447,5890
f8662c22,16.87663847966413,15.245230842697207,-15.188461444928533,5429
b0d42b0d,16.77987093550987,14.981995659942948,-14.343590504647747,4971
4a035ec2,16.775196387199525,13.975691975384809,11.92033613317674,2588
48c1f673,16.764968028344363,14.902869807623075,-14.333292648581962,2917
9c350a6a,16.763625575309074,13.47246567092163,-12.339558571677644,6052
5fb1c15f,16.75498363303129,15.695914576641837,-15.182922204248761,2860
1a518997,16.68969174608576,15.167577570504609,-15.167577570504609,4606
504c8b08,16.623890258365773,15.304829200255368,15.142465375638544,6367
939d9c34,16.57970014244108,12.428821527739144,5.512574129693994,5101
75d20a82,16.550676086830236,14.407057183526488,4.2681072864649545,5067
a6f967fb,16.47954514841073,15.338016527460974,14.427779934234197,4670
95b559e7,16.46974070446718,15.372997532475429,-15.359695443994605,2887
b37fd114,16.469731235357703,14.076154783618133,-12.604058981568146,8161
87aa3730,16.42434231786213,14.544110299466556,14.544110299466556,5607
9d4272e3,16.42317463277454,15.186881519904396,-15.094290034150564,4030
4cd1ac61,16.41855137999959,12.291456656085769,-12.187892457380153,4489
c1708b88,16.392781637447086,13.484087082476648,12.647752047709837,6315
e0f36d98,16.377045292407168,13.674965938504716,-13.280914316657356,4976
49dbc14c,16.29725004522404,15.310926028657668,15.272908051922698,3872
3584a6eb,16.173735716581003,15.606122966035985,15.606122966035985,4494
a622ce4d,16.12417343620392,14.375559598920331,-14.375559598920331,6298
b38e3116,16.121953283139245,12.95937856441749,12.535624799210382,6211
90386ee4,16.084503499697647,15.03416172639516,-15.03416172639516,3840
d63196fe,16.076386873052623,14.806706120770235,13.360495040266022,4510
cbe51de1,16.061877891059883,14.02024738223403,-13.96675043915158,3963
7d50373e,16.031337744811623,15.355789758139242,15.355789758139245,5122
d085e611,15.923337755680954,13.670912846110097,1.8642612595552719,6191
a8ed028a,15.867271869581606,14.089216841967422,-14.089216841967422,5538
c84c65be,15.862911104209154,14.364526885139767,-13.110626921833907,8496
516088b7,15.856875610047098,14.042935084847365,-14.015749129059625,6645
bd4ae5da,15.844447772659096,14.5362885019416,14.393595844431182,5006
c03fba65,15.783940733891471,14.212269534999617,12.954077221125937,3699
2acc78d4,15.776990582777106,11.802387868740682,-11.590526596377186,4266
f631da6e,15.770421712436292,14.452558256885267,14.452558256885267,4093
bd2c2f34,15.758509000121935,13.650338219727308,7.9822906311789525,9823
cbe62450,15.75660565910739,13.98910123288123,-11.577305440727581,6258
a783cc24,15.578613066429249,11.84769489505967,9.838429703394505,1889
f0188a48,15.488971415707908,13.797644684537946,13.797644684537946,4170
67847288,15.466710277622598,14.5573357200115,14.5573357200115,7429
5a63b5d1,15.464733948184888,13.425671994209354,12.699542137022814,6217
00bbac68,15.462879820190015,12.246200393419105,2.920122192235524,6014
a3f71395,15.422014121405885,14.026774409603268,4.461936091417026,5543
82aab6d2,15.35476773089169,14.03222512331822,10.214985716278608,6140
0bbf5e67,15.3494373953503,12.819342200603659,11.795586465350867,4298
aaaf3c03,15.31708094819835,12.805051455637484,9.346755329933869,2997
