well,rows,rmse_before,rmse_after,mae_before,mae_after
5a63b5d1,6217.0,20.96900060500993,20.968942868332352,19.10690712650553,19.106902041077895
015fe0d2,4296.0,20.962749023441244,20.962730530336295,18.09595792145738,18.0959332377122
8995c945,6724.0,20.888857648873326,20.88883089459876,17.937241783250972,17.937214830732692
460f859e,3336.0,20.879231401997384,20.879283097568248,17.83504534973631,17.835027750079004
d0cb63ae,5223.0,20.840486144511683,20.840541448475317,17.568953836199416,17.569031511918883
cbe62450,6258.0,20.82713119843106,20.827129731155573,18.055709407039284,18.055704655538687
42669188,4282.0,20.759559331833987,20.759450664749078,19.156641160301454,19.156572046306916
11d0f5ac,4883.0,20.75681701540438,20.75704734555815,17.901578857923322,17.901724326716245
60e37807,2699.0,20.60798605275275,20.607967594361405,14.81777424913342,14.817719215472037
ac6f01d5,5004.0,20.561377448967598,20.562049093330113,18.300834427645796,18.30133816557332
27c3155b,4958.0,20.532546096925202,20.53237383999765,19.43184569275333,19.431641809679682
1b1c5372,4261.0,20.488525798030032,20.488433757715196,15.777453035709415,15.777473965242386
4a035ec2,2588.0,20.477776128525907,20.47769524427221,17.154559298835192,17.154480999231374
e5864244,4469.0,20.333650981968525,20.31865346664929,19.382377420159273,19.374428805159308
c03fba65,3699.0,20.24767722340373,20.247665356839544,18.346226776434982,18.34620761426673
2075c696,3188.0,20.16404500794981,20.1642374837675,17.143677269755166,17.14384861745011
729f4217,6195.0,20.060412650224688,20.060282615639455,19.25051435600661,19.25039019258383
bf70b410,6347.0,20.058874316228497,20.058867717532987,14.3930681413384,14.39298984001832
bb337fa0,6873.0,20.01948152389637,20.019487111323766,18.04201228217541,18.042017755742144
c59b6c4a,5499.0,19.887483866640867,19.887494169672458,17.48994542265572,17.489915137273275
2fa01aa6,2174.0,19.81211027021098,19.812023110903407,16.404065309418385,16.40400633200649
a48640d9,4532.0,19.80828217419538,19.80838395773668,19.180108008794583,19.180204785676935
95b559e7,2887.0,19.77294563203413,19.77363172041452,18.73711786375145,18.737722293712228
df73b8f3,5311.0,19.45237551989541,19.452228381305414,13.500291385376357,13.500195829134102
53134831,5126.0,19.421918737878247,19.421904493680234,18.683862244740855,18.683872012491047
84c3b497,5312.0,19.37029925549717,19.370438414700647,13.693947244403065,13.694010272255639
5a1a8fd8,5260.0,19.303647622472898,19.30365174505489,17.87339760023735,17.87338450014012
bb682ebd,4139.0,19.296520061415617,19.296520881551217,16.91106780102079,16.911079449381173
46dfcfca,3606.0,19.26678807223542,19.26628449349986,18.489133257097905,18.48857673615654
14a53cb3,6919.0,12.332865547715832,19.25402781710463,10.979946114491412,14.137553140546153
504c8b08,6367.0,19.225015832914856,19.225005381633576,18.619170812923333,18.619176116376963
48c1f673,2917.0,19.152624833414475,19.152660352574816,16.89512112630099,16.895109222429543
4a335117,5015.0,20.802695288090213,19.135263191193093,18.268292243398335,16.107131662906397
5cdd8dbc,4010.0,19.10888157093525,19.10890193093539,14.504322985853568,14.504333783804636
30d75030,3404.0,19.075494327365902,19.075644914215555,14.623163947234177,14.62314041690666
e45a2a62,5007.0,19.063202832525903,19.063319635417113,15.709102053502262,15.70918416846312
543198e8,6503.0,18.980853642703085,18.980778467408598,14.851826654117692,14.85178885511419
9896fc0b,3595.0,18.80090179787268,18.800947778918502,12.59047166381176,12.590371850400121
d63196fe,4510.0,18.75613765098532,18.756134115972692,17.38311369287325,17.383118262381707
939d9c34,5101.0,18.711967427526616,18.711935765715957,14.100868008799628,14.100834434666242
d84b621b,3994.0,18.70763493587115,18.707626885325823,18.032776670389524,18.0327832055839
577eec7c,4539.0,18.691854287692635,18.691809711947567,15.434076929010079,15.434015269392566
f5859199,5790.0,18.6165347650802,18.616954131393136,17.244780743412115,17.245245244573763
05a0ee4d,4348.0,18.580371858581753,18.580397318012565,13.433625273763095,13.433620830261646
125be846,6510.0,18.516002810348194,18.515962399653002,17.503322530981137,17.503302782168408
9d4272e3,4030.0,18.511240379790397,18.511384808638145,17.066769376046206,17.066937200165587
2ac7cb6b,4990.0,18.48982135817194,18.489969088960198,14.32682287093005,14.326849764640079
5fb1c15f,2860.0,18.47908506888129,18.479140834215627,17.183680569149455,17.183747915379485
368131f9,4991.0,18.40794817024928,18.407900558576284,15.207826191674572,15.207796060360181
4f69febf,5460.0,18.398302439956765,18.398258930326815,16.883953359218957,16.88382707786483
a8ed028a,5538.0,18.316697381653054,18.316714295524413,16.772452435914214,16.77247726897145
5beded95,3057.0,18.19514657549451,18.195039109501653,16.845932219158012,16.845883600966648
ecdab904,6147.0,18.158203683772435,18.158499531824468,16.68693019676652,16.687228886086885
ecdaf714,6592.0,18.126343461543915,18.12634203570259,15.234193829523782,15.234204355013151
84815d5a,3647.0,18.019482796739617,18.01968630961884,16.155014543522913,16.1552113117455
3a0af893,2927.0,18.011106500321112,18.010766930721385,15.045948717770761,15.045649321084078
ef8e3ed0,5224.0,17.98359412290126,17.983452209626115,16.379268611157073,16.37911369519661
