well,rows,known_rows,target_rows,target_md_span,target_tvt_span,target_gr_missing_rate,rmse,mae,bias,p95_abs_error,max_abs_error
e0079ed1,5257,1786,3471,3470.0,20.980000000001382,0.3197925669835782,16.802534845215824,12.789717660906977,10.822757130889014,33.51000000072054,38.51000000075874
2075c696,5580,2392,3188,3187.0,32.11999999999898,0.0809284818067754,16.68472972903638,13.625370135813492,13.625370135813492,33.67949999581241,39.27999999559324
3417285d,7458,2009,5449,5448.0,45.7400000000016,0.09818315287208662,16.58540634298825,14.162189392718535,-5.459095246239237,26.349999999640566,27.039999999642532
0e5e560d,4896,1643,3253,3252.0,24.93000000000029,0.2846603135567169,16.57806242900861,12.833310790337732,8.271017522642248,38.294000000668525,39.260000000709624
ec0d597b,6452,1836,4616,4615.0,44.279999999998836,0.06737435008665511,16.44325138720608,10.93068240901264,-10.40349436741826,34.030000000000655,34.98999999999978
e201fd6d,6912,1842,5070,5069.0,40.529999999998836,0.27593688362919133,16.371250707380042,13.068065088757724,9.358234714005336,28.965500000001068,29.890000000001237
d5df0ff5,5490,1458,4032,4031.0,24.780000000000655,0.03521825396825397,16.351335751344372,15.35087797619106,15.35087797619106,23.450000000000728,24.790000000000873
5663b2b7,6907,1935,4972,4971.0,43.43000000000029,0.1566773934030571,16.28409405856329,13.36353177795676,7.03055108608278,25.9900000000016,27.610000000000582
ce8399b7,3548,1933,1615,1614.0,8.109999999998763,0.03715170278637771,16.26361106998878,13.481461299193462,-13.481461299193462,26.002999997880398,27.279999997768755
60e37807,4641,1942,2699,2698.0,46.93000000000029,0.025935531678399407,16.203176295488387,14.520348277730497,14.520348277730497,25.600000000512956,29.920000001180597
09441b8d,7395,1907,5488,5487.0,34.72999999999956,0.11716472303206997,15.9390645279074,12.67259110787227,12.652649416910203,28.829999999999927,34.18000000000029
8b12bab6,6980,1746,5234,5233.0,31.69999999999891,0.5827283148643485,15.811256392108719,12.055089797478473,-11.5074512800925,28.159999999999854,28.51000000000022
e161bd0c,4813,1864,2949,2948.0,18.290000000000873,0.5395049169209901,15.786054781969534,14.02285181449604,14.02285181449604,22.182000000545667,23.650000000541695
173ed841,6530,1647,4883,4882.0,45.279999999998836,0.38951464263772273,15.74938573465959,11.228318653514728,10.548896166477917,30.968999992574386,39.21999999218315
13ce113d,4875,1909,2966,2965.0,14.380000000001019,0.19116655428186108,15.73281306360462,14.312100469641043,14.312100469641043,22.419999995854596,23.189999995798644
df73b8f3,7150,1839,5311,5310.0,45.51999999999862,0.6558086989267558,15.617554195793542,10.485900960270909,9.23753718696993,37.23499999999967,40.35999999999876
d9eca87b,7932,1559,6373,6372.0,83.01000000000022,0.5873215126314137,15.34355003862552,12.509096182954803,-11.017064171894809,27.739999992684535,29.529999992346347
a3f71395,7040,1497,5543,5542.0,38.32999999999993,0.07865776655240844,15.089395383508826,13.610257983041308,9.93482229839372,22.219999999999345,22.43999999999869
58850d2c,6918,1923,4995,4994.0,21.109999999998763,0.022022022022022022,14.887955622671049,14.052264264264263,14.052252252252249,20.55999999999949,21.099999999998545
14ab73fb,5279,1630,3649,3648.0,30.329999999999927,0.4097012880241162,14.81915286795364,13.023165250754353,13.023165250754353,24.366000000000714,30.340000000000146
dd64382d,5058,1934,3124,3123.0,15.649999999999636,0.6264404609475032,14.74360581402656,12.863607554757754,12.863607554757754,23.29850000056649,24.330000000583823
3ef98781,5343,1451,3892,3891.0,19.590000000001965,0.03802672147995889,14.209755774984785,11.329468140134548,-7.857911100116132,29.41350000080674,36.270000000848086
7d57c75d,6147,1742,4405,4404.0,42.73999999999978,0.10102156640181612,14.198113996829493,9.496515323495858,-9.136973893302848,36.05399999999936,38.60999999999876
7ff89f8f,9539,2202,7337,7336.0,40.969999999999345,0.2108491208940984,14.155555516103233,11.48404525010244,-8.27030939075982,25.122000000000842,26.590000000000146
e25f1537,5018,1841,3177,3176.0,30.7400000000016,0.24394082467736858,13.98306493404393,11.976342461788295,-11.976342461788295,24.20200000037512,24.59000000037304
cbe51de1,5362,1399,3963,3962.0,30.090000000000146,0.0464294726217512,13.78742645298159,9.542528387817304,8.159394398616035,33.319000000821866,34.980000000859945
2acc78d4,6109,1843,4266,4265.0,33.02000000000044,0.6819034224097515,13.626234402591441,9.70119081106387,-9.289207688700932,28.097499999998945,29.219999999999345
cad13e8f,6866,2018,4848,4847.0,24.530000000002474,0.04785478547854786,13.483257090788541,11.091037541652195,-7.829597772806382,23.42000000091948,26.730000001058215
d60430e6,4176,1665,2511,2510.0,19.389999999999418,0.4054161688570291,13.482880995378562,10.802409398831173,-6.829115890358616,26.6550000005127,27.260000000496802
e2fc7745,5343,1651,3692,3691.0,34.68000000000029,0.06256771397616467,13.341394284804746,9.88079631635966,-9.649165763813572,28.1624999999999,33.11000000000058
fde20ecf,6386,1719,4667,4666.0,24.31000000000131,0.2989072209127919,13.336251964043356,10.231225627100317,8.509987144284189,27.070000000920118,27.89000000095075
46a7190b,5646,1431,4215,4214.0,27.76000000000022,0.4099644128113879,13.31037471543342,10.620455516014502,-10.548066429419034,25.142999999999482,26.649999999999636
84815d5a,5286,1639,3647,3646.0,34.350000000000364,0.27858513846997535,13.296419302935531,11.984376199794232,1.3090320815600949,19.489999999685097,19.509999999721913
d07aed8f,4709,1752,2957,2956.0,9.569999999999709,0.33040243490023674,13.291535965241547,10.212424755132343,10.039120730793368,25.462000000613987,25.92000000063672
09053135,7715,1808,5907,5906.0,25.679999999998472,0.4218723548332487,13.261553626472297,12.283340104961095,-12.254980531573667,20.30000000000109,25.040000000000873
b04b58a3,5229,1827,3402,3401.0,31.44000000000051,0.04879482657260435,13.058667367524363,10.544162257495614,-5.345449735450478,22.0,22.200000000000728
3a7dd95d,4320,1248,3072,3071.0,27.649999999999636,0.4736328125,13.010388611275376,10.554567057291571,9.463955078124876,21.084500000000023,21.670000000000073
f72b268f,7918,1514,6404,6403.0,32.82999999999993,0.046845721424109935,12.93812397222547,11.054751717676488,-9.336869144284885,22.0,24.30999999999949
4fbe9c06,7938,1651,6287,6286.0,24.730000000001382,0.6146015587720693,12.700621635010842,10.129518053125672,8.825023063464641,18.640000000001237,19.220000000001164
c03d4aed,6375,1734,4641,4640.0,28.69000000000051,0.18444300797241975,12.583094329136486,10.147720318897342,-9.3034410687362,23.570000000001528,25.040000000000873
79507629,7320,2018,5302,5301.0,22.44999999999891,0.1050546963410034,12.57032003546627,10.769713315730124,10.769660505469846,20.668500000000126,22.409999999999854
f321a31c,6555,1414,5141,5140.0,35.19000000000051,0.039291966543474034,12.557281531880928,10.301707838941793,6.308325228554559,18.549999999999272,19.69000000000051
404c4384,2612,1701,911,910.0,8.880000000001019,0.33150384193194293,12.383501657068901,10.730801317533006,10.730801317533006,18.365000000567306,18.43000000059692
201661b5,8136,2181,5955,5954.0,45.969999999999345,0.06616288832913518,12.376074593108253,10.650921914358007,-6.596379513014775,21.18000000000029,25.140000000001237
a48640d9,6586,2054,4532,4531.0,27.399999999999636,0.13879082082965577,12.353223748865524,9.873751103513131,1.7908870260903573,23.407000000939377,42.36000000099011
3e011332,4842,2119,2723,2722.0,40.970000000001164,0.017994858611825194,12.34548696060368,10.263191333138824,4.004109438418459,22.439000000566384,32.76000000059685
edf885a3,4863,1746,3117,3116.0,24.860000000000582,0.1206288097529676,12.288723348140039,9.82893166506286,-8.85183188963819,20.43200000000179,20.900000000001455
2b547943,5131,1651,3480,3479.0,18.98999999999978,0.3563218390804598,12.241457142013665,10.497290229884728,-9.89807758620625,16.329999999999927,16.55999999999949
f074d277,3868,1415,2453,2452.0,24.030000000000655,0.27435792906644924,12.187719616802815,10.561748878923515,-10.263094170403269,20.467999999999304,21.31999999999971
ea0b99b7,10939,1700,9239,9238.0,27.589999999998327,0.5112025110942743,12.15975654126152,10.500710033552888,-10.420311722047261,22.750999999999845,24.7599999999984
f4d12d23,5448,1747,3701,3700.0,24.61999999999898,0.28776006484733857,12.02642985051693,9.521267225213858,-3.8000891654948266,21.46000000076674,23.58000000080756
c593337f,7118,1910,5208,5207.0,48.349999999998545,0.30913978494623656,11.93635116636374,10.59757104147161,-10.14243279153038,19.596499995795416,22.289999995533435
fc0d20b2,5308,1354,3954,3953.0,23.730000000001382,0.47774405665149217,11.932087953866953,7.689668689935407,7.639097116845072,22.079999999999927,23.100000000002183
6d1d74e1,7316,1486,5830,5829.0,39.97999999999956,0.307032590051458,11.887571200184345,9.238420240137268,2.618557461406848,22.730000000001382,24.75
58fa8486,6126,1651,4475,4474.0,28.360000000000582,0.28268156424581004,11.865701003853058,9.975671508379627,7.450983240222805,21.87299999999905,22.25
1b08ed48,7175,1557,5618,5617.0,21.31000000000131,0.5802776788892845,11.838490879530399,10.44722855108537,10.200831256674466,17.43000000000029,18.850000000000364
2f19d536,4744,1656,3088,3087.0,12.290000000000873,0.37338082901554404,11.767511917640844,9.669183938146128,-9.551334197227781,21.033000000639177,22.990000000672808
c2c6fc71,8840,1721,7119,7118.0,24.229999999999563,0.3833403567916842,11.767462410523247,10.212803764573263,-9.649252704030962,18.529999999998836,19.109999999998763
71ccf778,4623,1925,2698,2697.0,12.510000000000218,0.04595997034840623,11.75441557208832,9.352798369457783,-9.352798369457783,23.3630000005609,25.300000000590444
eabc711b,7314,1966,5348,5347.0,37.1399999999976,0.43324607329842935,11.698478022871637,9.239968212415832,4.097544876589735,21.93000000000029,22.86999999999898
d0a0e7b5,5423,1607,3816,3815.0,17.98999999999978,0.1391509433962264,11.676903707262621,10.458778825996006,-10.440901467505448,17.110000000000582,17.530000000000655
e730c32b,6469,1741,4728,4727.0,20.0,0.6298646362098139,11.654671854511827,10.558796531301683,-10.405145939084909,16.44999999999891,18.339999999998327
529e88ca,5253,1836,3417,3416.0,36.2599999999984,0.549897570968686,11.295737021561974,9.624992685444473,7.355984785453163,20.696000006613026,22.090000006897753
4a8ecc0b,7374,1565,5809,5808.0,39.219999999999345,0.01996901359958685,11.211904800768597,9.65338612497878,-3.790218626270524,21.136000000001143,22.13000000000102
43c7f85a,7484,1506,5978,5977.0,24.270000000000437,0.5043492806958849,11.180370167514397,8.900003345601032,8.790990297759004,21.829999999999927,22.720000000001164
25939962,6071,1752,4319,4318.0,34.73000000000138,0.6225978235702709,11.099661933822553,9.734102801574442,-4.172945126186627,17.030000000000655,17.3700000000008
9ffce529,6675,1463,5212,5211.0,31.390000000001237,0.4113584036838066,11.084878093703349,9.462730237912524,5.864410974673831,22.374500000000896,23.200000000000728
5aef5c6c,4853,1732,3121,3120.0,42.31999999999971,0.6507529637936559,10.926258823623487,8.276719000320538,5.337289330343088,21.710000000000946,30.210000000000946
4630ab92,5307,1934,3373,3372.0,24.340000000000146,0.27334716869255854,10.880550178687447,8.369955529202837,8.231473465757936,22.793999999999865,23.25
