well,rows,baseline_rmse,geometry_rmse,rmse_improvement,baseline_mae,geometry_mae,baseline_bias,geometry_bias,residual_pred_mean,residual_pred_std,max_residual_correction_jump,target_rows,improved,rmse
c47e0767,4356,6.696769953153147,22.087679394706907,-15.39090944155376,5.304928834031409,19.81556428008583,2.512954545929849,-19.79956323641243,-22.31251778234228,12.93512924011464,0.3414684671712393,4356,False,22.087679394706907
2fa01aa6,2174,6.849076270924296,20.900876140757592,-14.051799869833296,6.228155473592553,17.31675748063541,4.248284268391868,17.310704480732767,13.062420212340909,6.918687993391451,0.2856342949572763,2174,False,20.900876140757592
ee0300f7,4544,8.627626581464789,22.435254941952127,-13.80762836048734,7.317466989681751,21.59658490444465,-1.8564722706315069,-21.59658490444465,-19.740112633813144,11.504467906373554,0.5095009956132754,4544,False,22.435254941952127
9a95e33f,6447,16.886386436950428,30.61677730504332,-13.73039086809289,11.942128120390423,28.565811909509776,-2.133311612645389,28.565811909509776,30.699123522155183,16.812030361977158,0.3866606268816888,6447,False,30.61677730504332
8a89da23,3935,9.48665482381776,22.13942917313697,-12.65277434931921,7.802935197042851,21.161071883059904,-3.354772553572734,-21.16098812242568,-17.80621556885296,9.610081942372418,0.5689021034405108,3935,False,22.13942917313697
c593337f,5208,11.93635116636374,24.50597215391594,-12.5696209875522,10.597571041471609,19.34997590187513,-10.142432791530377,17.729217535100396,27.871650326630764,14.216348934512714,0.5343375745712464,5208,False,24.50597215391594
d9eca87b,6373,15.343550038625514,27.532574208378016,-12.189024169752502,12.509096182954796,22.661772547120684,-11.017064171894813,22.661772547120684,33.67883671901549,17.47778023440307,0.4810432242573199,6373,False,27.532574208378016
4463446c,3256,5.0943309594443855,15.799723382749049,-10.705392423304662,4.333120393115396,12.793963570006255,1.3610810814370544,-12.793963570006255,-14.155044651443324,6.886532034038003,0.4294474518042506,3256,False,15.799723382749049
48c1f673,2917,7.287402039689545,17.33885624061236,-10.051454200922812,6.135354816573039,15.452028928708026,-1.450349674004331,-14.385662993408966,-12.935313319404653,9.346572158455658,0.39116635119424,2917,False,17.33885624061236
a48640d9,4532,12.353223748865526,22.062820475246383,-9.709596726380855,9.87375110351313,21.485526377552308,1.7908870260903582,-21.485526377552308,-23.27641340364268,11.57298728868575,0.6058711035545912,4532,False,22.062820475246383
368131f9,4991,9.875992090231112,19.496625476472964,-9.620633386241852,8.182075736838033,16.195966759642083,7.976137047228921,-14.638982706906589,-22.61511975413551,15.278619579242608,0.1551024821511704,4991,False,19.496625476472964
2364716c,4316,9.11733774088887,18.464706211189583,-9.347368470300715,7.986109824170688,16.997849774593647,4.349816960618774,-16.62399750512289,-20.973814465741665,10.429059262429124,0.4710609119786539,4316,False,18.464706211189583
404c4384,911,12.383501657068903,21.11128457954738,-8.727782922478477,10.730801317533006,21.04236869404817,10.730801317533006,21.04236869404817,10.31156737651514,7.471113254741749,0.1282172621603265,911,False,21.11128457954738
b4f37e6e,2992,5.063202214180289,12.91655639631866,-7.85335418213837,4.241046121777939,10.415299481318508,3.4010327516144185,-10.415102554225658,-13.816135305840074,6.646776762547437,0.6306404463393651,2992,False,12.91655639631866
ef04658e,4104,9.783301531144607,16.602107079266077,-6.818805548121469,7.791569201179651,14.502230084799402,7.221457115457835,-14.502230084799402,-21.723687200257217,12.17823823301385,0.1155389860743483,4104,False,16.602107079266077
fba7683c,407,2.555309739035002,8.496941908599476,-5.941632169564475,2.072039312039204,8.150197734048525,1.1741523341520774,-8.150197734048525,-9.324350068200603,0.5675939192813934,0.4397340756612227,407,False,8.496941908599476
3e011332,2723,12.34548696060368,18.148182438276933,-5.802695477673254,10.263191333138822,12.989527383208364,4.004109438418461,-11.567497271482289,-15.571606709900728,7.077452508244719,0.7284939977997507,2723,False,18.148182438276933
2ab29395,1852,2.45945596628769,8.181752612853993,-5.722296646566303,1.981587473002184,7.947956912971753,1.8494168466522949,7.947956912971753,6.098540066319446,1.1203912903995248,0.1080746694831038,1852,False,8.181752612853993
10be2420,3271,6.196787554587049,11.723006786793682,-5.526219232206634,4.998391926797411,10.192886802291444,-4.781956585581593,9.77768634406756,14.559642929649124,9.48703957115556,0.5719143572386223,3271,False,11.723006786793682
35b3ef6a,3904,21.108030297647904,26.51581547379712,-5.407785176149218,15.857210554063416,24.539697644706035,-15.149054816424702,24.539697644706035,39.68875246113073,22.19460974204096,0.4613087072671238,3904,False,26.51581547379712
91db7070,4073,30.99759641165404,36.21668268754522,-5.219086275891186,26.63112693479827,30.88270163088865,26.63107783094367,-30.88270163088865,-57.5137794618323,32.19440831021713,0.1364446999546018,4073,False,36.21668268754522
529e88ca,3417,11.295737021561973,16.26102286038005,-4.965285838818076,9.624992685444472,13.964462675011516,7.355984785453161,-10.16322379450577,-17.519208579958935,11.41294635663007,0.2785501244886674,3417,False,16.26102286038005
43c7f85a,5978,11.180370167514395,16.05284533342065,-4.872475165906252,8.900003345601032,13.79704181903658,8.790990297759004,13.79704181903658,5.006051521277579,2.286552075348217,0.1045514665848692,5978,False,16.05284533342065
2075c696,3188,16.68472972903638,21.439091078754704,-4.754361349718323,13.625370135813492,18.70181094205003,13.625370135813492,-18.70181094205003,-32.327181077863536,16.607765090843053,0.4237249442680308,3188,False,21.439091078754704
84815d5a,3647,13.296419302935533,17.936854473016346,-4.640435170080815,11.984376199794234,16.054062862009427,1.309032081560096,-16.04735648973787,-17.35638857129796,10.932138372149756,0.403550831713531,3647,False,17.936854473016346
fa16d114,5686,20.815118518803075,25.43848028084903,-4.623361762045956,17.92015476609229,21.94897771558916,16.341470277875704,21.53307606157766,5.191605783701938,1.1626383879279345,0.2967626390177003,5686,False,25.43848028084903
12203f2a,3261,8.941811107673741,13.40024487586254,-4.458433768188797,5.538751915150129,12.06950434832703,-4.166467338695888,12.06950434832703,16.23597168702291,8.459225729668239,0.4732728528948264,3261,False,13.40024487586254
cc8a1d57,6638,23.961146116425983,28.338332765334908,-4.377186648908925,16.361863513380445,25.80836088031629,-8.259570654535667,25.80836088031629,34.06793153485196,17.434659305269356,0.1109503112732355,6638,False,28.338332765334908
60e37807,2699,16.203176295488387,20.47468797024592,-4.27151167475753,14.520348277730497,14.34206431622068,14.520348277730497,-13.028922653819816,-27.549270931550296,14.557473460831332,0.4831978443926363,2699,False,20.47468797024592
