well,rows,rmse,mae,bias,baseline_rmse,geometry_rmse,rmse_improvement_vs_baseline,rmse_improvement_vs_geometry,learned_alpha,oracle_alpha
ee288beb,4638,29.588950517275194,25.716782120161202,-21.412675195553113,106.82542877313462,26.4130541357214,77.23647825585942,-3.1758963815537946,0.959268895664565,1.0
ae8959c3,4518,29.561368520751653,26.552845473941062,-26.535287332458065,45.60432285600711,21.94852935346784,16.042954335255455,-7.612839167283813,0.677163034178413,1.0
925a7cd1,4517,29.332682890842918,26.5528640210902,26.5528640210902,133.9419700286868,7.204285547721855,104.60928713784388,-22.128397343121062,0.8210151773497932,1.0
df71d1ff,6228,28.98672656165466,24.39715028710075,22.739762346263767,80.7702576371087,17.497653216527706,51.783531075454036,-11.489073345126954,0.8060589317352881,1.0
230eaaa3,4690,28.876659048635794,23.75460049941095,-15.74332484352113,49.412372418336766,23.687315327915407,20.53571336970097,-5.189343720720387,0.7824369097169946,1.0
4b462989,3106,28.733668589086264,26.584195952197607,26.584195952197607,73.76542445251948,7.855483970620635,45.03175586343322,-20.878184618465628,0.6528921762886428,1.0
05a0ee4d,4348,28.653921730277983,22.57394063289331,22.57394063289331,67.09453667344094,18.58037185858178,38.440614943162956,-10.073549871696201,0.7849927234915097,1.0
ecdaf714,6592,28.572865120233107,24.848496861134446,-24.12155796858393,126.41635919051957,18.126343461543907,97.84349407028647,-10.4465216586892,0.896101022651783,1.0
a08d9e63,3685,28.429874746425327,26.392504305790354,-26.392504305790354,101.28527756445371,21.453823222903736,72.85540281802838,-6.9760515235215905,0.8926753857363863,1.0
261785ee,3646,28.303548611917556,25.682369008429003,25.671704041268168,43.18838477442013,22.54795690510371,14.884836162502573,-5.755591706813846,0.7097879281157186,1.0
ce55ba43,4104,28.23760326179656,25.06930824471612,-24.964829290135107,107.20226681825704,14.685848572425101,78.96466355646048,-13.55175468937146,0.8466127726085242,1.0
91abc4c7,5848,28.1980449724303,25.79728498023454,25.621819661305455,169.37460756696564,8.299334554469919,141.17656259453534,-19.89871041796038,0.8570093966984865,1.0
c6797dd7,4664,28.06682201594285,22.075767222797882,21.83891612568205,108.87174021289891,8.321956439455471,80.80491819695607,-19.744865576487378,0.7905685264239622,1.0
5def1ce5,6443,28.03472319228954,22.58598483990487,22.23096028882174,147.5637021322155,8.993027319849858,119.52897893992596,-19.041695872439682,0.8429500420178441,1.0
1a518997,4606,27.854992516967734,22.6212422835145,21.294904948904286,150.05098291919586,6.21336444796413,122.19599040222812,-21.641628069003602,0.8006261125821305,1.0
577eec7c,4539,27.733584403186946,26.271063161300354,-26.271063161300354,64.69234659767709,18.691854287692625,36.95876219449014,-9.041730115494321,0.7495249014058785,1.0
95c8427f,6335,27.704358728050746,26.211643639307425,26.211643639307425,27.215687207592826,27.879458470318635,-0.4886715204579204,0.17509974226788927,0.743702878692835,0.0
